From	Entry	Gene_Ontology	Gene_Ontology_IDs
A7SHW6_NEMVE	A7SHW6	diaminopimelate decarboxylase activity [GO:0008836]; lysine biosynthetic process via diaminopimelate [GO:0009089]; polyamine biosynthetic process [GO:0006596]	GO:0006596; GO:0008836; GO:0009089
A0A913XHZ9_EXADI	A0A913XHZ9	N/A	N/A
A0A3M6UC58_POCDA	A0A3M6UC58	catalytic activity [GO:0003824]	GO:0003824
A0A7S2NDI2_9DINO	A0A7S2NDI2	catalytic activity [GO:0003824]	GO:0003824
A0A7D9IXS5_PARCT	A0A7D9IXS5	catalytic activity [GO:0003824]	GO:0003824
A0A7S4RSV4_9DINO	A0A7S4RSV4	catalytic activity [GO:0003824]	GO:0003824
A0A4U1H6T2_9DELT	A0A4U1H6T2	carboxy-lyase activity [GO:0016831]; polyamine biosynthetic process [GO:0006596]	GO:0006596; GO:0016831
A0A7S2SMX0_9STRA	A0A7S2SMX0	catalytic activity [GO:0003824]; polyamine biosynthetic process [GO:0006596]	GO:0003824; GO:0006596
A0A2D4BZ28_PYTIN	A0A2D4BZ28	catalytic activity [GO:0003824]	GO:0003824
A0A6S6UMR9_9GAMM	A0A6S6UMR9	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; exonuclease activity [GO:0004527]; DNA replication [GO:0006260]	GO:0003677; GO:0003887; GO:0004527; GO:0006260
A0A6P8HBC3_ACTTE	A0A6P8HBC3	membrane [GO:0016020]	GO:0016020
A0A6P8HJZ6_ACTTE	A0A6P8HJZ6	membrane [GO:0016020]	GO:0016020
A0A6P8HRZ5_ACTTE	A0A6P8HRZ5	membrane [GO:0016020]	GO:0016020
A0A6P8HPE0_ACTTE	A0A6P8HPE0	cytoplasm [GO:0005737]; intracellular signal transduction [GO:0035556]	GO:0005737; GO:0035556
A0A913XD71_EXADI	A0A913XD71	N/A	N/A
A0A913XEF0_EXADI	A0A913XEF0	N/A	N/A
A0A2B4SU10_STYPI	A0A2B4SU10	cytoplasm [GO:0005737]; intracellular signal transduction [GO:0035556]	GO:0005737; GO:0035556
A0A3M6UP89_POCDA	A0A3M6UP89	cytoplasm [GO:0005737]; intracellular signal transduction [GO:0035556]	GO:0005737; GO:0035556
A7RJX3_NEMVE	A7RJX3	SCF ubiquitin ligase complex [GO:0019005]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0019005; GO:0043161
A7T5J3_NEMVE	A7T5J3	SCF ubiquitin ligase complex [GO:0019005]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0019005; GO:0043161
B3RMJ7_TRIAD	B3RMJ7	cytoplasm [GO:0005737]; SCF ubiquitin ligase complex [GO:0019005]; intracellular signal transduction [GO:0035556]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0005737; GO:0019005; GO:0035556; GO:0043161
A0A672SQ98_SINGR	A0A672SQ98	protein ubiquitination [GO:0016567]	GO:0016567
A0A369RYI3_9METZ	A0A369RYI3	cytoplasm [GO:0005737]; intracellular signal transduction [GO:0035556]	GO:0005737; GO:0035556
A0A6P8HXS9_ACTTE	A0A6P8HXS9	cytoplasm [GO:0005737]; mRNA binding [GO:0003729]; regulation of translation [GO:0006417]	GO:0003729; GO:0005737; GO:0006417
A0A913Y3G9_EXADI	A0A913Y3G9	N/A	N/A
A7RUN8_NEMVE	A7RUN8	cytoplasmic ribonucleoprotein granule [GO:0036464]; membrane [GO:0016020]; nucleus [GO:0005634]; polysome [GO:0005844]; mRNA 3-UTR binding [GO:0003730]; protein homodimerization activity [GO:0042803]; translation regulator activity [GO:0045182]; negative regulation of translation [GO:0017148]; positive regulation of translation [GO:0045727]; regulation of mRNA stability [GO:0043488]	GO:0003730; GO:0005634; GO:0005844; GO:0016020; GO:0017148; GO:0036464; GO:0042803; GO:0043488; GO:0045182; GO:0045727
A0A2B4RF04_STYPI	A0A2B4RF04	cytoplasm [GO:0005737]; mRNA binding [GO:0003729]; regulation of translation [GO:0006417]	GO:0003729; GO:0005737; GO:0006417
A0A7D9HIV2_PARCT	A0A7D9HIV2	cytoplasm [GO:0005737]; mRNA binding [GO:0003729]; regulation of translation [GO:0006417]	GO:0003729; GO:0005737; GO:0006417
A0A7D9HIZ0_PARCT	A0A7D9HIZ0	cytoplasm [GO:0005737]; mRNA binding [GO:0003729]; regulation of translation [GO:0006417]	GO:0003729; GO:0005737; GO:0006417
A0A8B6XND8_HYDVU	A0A8B6XND8	cytoplasm [GO:0005737]; mRNA binding [GO:0003729]; regulation of translation [GO:0006417]	GO:0003729; GO:0005737; GO:0006417
T2MFB5_HYDVU	T2MFB5	mRNA binding [GO:0003729]; regulation of translation [GO:0006417]	GO:0003729; GO:0006417
Q683N2_HYDEC	Q683N2	cytoplasm [GO:0005737]; mRNA binding [GO:0003729]; regulation of translation [GO:0006417]	GO:0003729; GO:0005737; GO:0006417
A0A401NHW1_SCYTO	A0A401NHW1	"chromosome, centromeric region [GO:0000775]; cytoplasmic ribonucleoprotein granule [GO:0036464]; dendritic spine [GO:0043197]; filopodium tip [GO:0032433]; growth cone [GO:0030426]; nucleolus [GO:0005730]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; presynaptic membrane [GO:0042734]; ribonucleoprotein complex [GO:1990904]; mRNA binding [GO:0003729]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; nervous system development [GO:0007399]; regulation of translation [GO:0006417]; RNA splicing [GO:0008380]"	GO:0000775; GO:0003729; GO:0005730; GO:0006397; GO:0006417; GO:0007399; GO:0008380; GO:0030426; GO:0032433; GO:0036464; GO:0042734; GO:0043197; GO:0043204; GO:0048471; GO:0051028; GO:1990904
A0A6P8HG32_ACTTE	A0A6P8HG32	N/A	N/A
A0A913YBW2_EXADI	A0A913YBW2	N/A	N/A
A7RTX2_NEMVE	A7RTX2	N/A	N/A
A0A913X393_EXADI	A0A913X393	N/A	N/A
A0A3M6TBB1_POCDA	A0A3M6TBB1	N/A	N/A
A0A2B4SG45_STYPI	A0A2B4SG45	N/A	N/A
A0A6P8I6B1_ACTTE	A0A6P8I6B1	N/A	N/A
A7RNP7_NEMVE	A7RNP7	cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; dynein intermediate chain binding [GO:0045505]; microtubule-based movement [GO:0007018]	GO:0005737; GO:0005868; GO:0007018; GO:0045505
A0A210QJA4_MIZYE	A0A210QJA4	N/A	N/A
A0A8B7ZYA3_ACAPL	A0A8B7ZYA3	N/A	N/A
A0A6P8HMR8_ACTTE	A0A6P8HMR8	lysozyme activity [GO:0003796]	GO:0003796
A0A8S3S8G9_MYTED	A0A8S3S8G9	defense response to bacterium [GO:0042742]	GO:0042742
A0A0C5PW39_MYTGA	A0A0C5PW39	defense response to bacterium [GO:0042742]	GO:0042742
I6QSK6_MYTGA	I6QSK6	defense response to bacterium [GO:0042742]	GO:0042742
A0A6J8C4V6_MYTCO	A0A6J8C4V6	lysozyme activity [GO:0003796]; defense response to bacterium [GO:0042742]; metabolic process [GO:0008152]	GO:0003796; GO:0008152; GO:0042742
A0A6J8BYE0_MYTCO	A0A6J8BYE0	lysozyme activity [GO:0003796]; defense response to bacterium [GO:0042742]; metabolic process [GO:0008152]	GO:0003796; GO:0008152; GO:0042742
F6K6C5_CYCSN	F6K6C5	defense response to bacterium [GO:0042742]	GO:0042742
A0A0C5PIW0_MYTGA	A0A0C5PIW0	defense response to bacterium [GO:0042742]	GO:0042742
R9WXF4_RUDPH	R9WXF4	defense response to bacterium [GO:0042742]	GO:0042742
A0A8B6E4B0_MYTGA	A0A8B6E4B0	"hydrolase activity, acting on glycosyl bonds [GO:0016798]; defense response to bacterium [GO:0042742]; metabolic process [GO:0008152]"	GO:0008152; GO:0016798; GO:0042742
A0A6P8IEI8_ACTTE	A0A6P8IEI8	N/A	N/A
A0A7D9JER2_PARCT	A0A7D9JER2	N/A	N/A
A0A7D9JF69_PARCT	A0A7D9JF69	N/A	N/A
A0A7D9HK57_PARCT	A0A7D9HK57	N/A	N/A
A0A6P8HXL2_ACTTE	A0A6P8HXL2	N/A	N/A
A0A7D9L5Y6_PARCT	A0A7D9L5Y6	N/A	N/A
A0A7D9EWT5_PARCT	A0A7D9EWT5	N/A	N/A
A0A7D9LNF3_PARCT	A0A7D9LNF3	N/A	N/A
A0A6S7I2N0_PARCT	A0A6S7I2N0	N/A	N/A
A0A2B4SH97_STYPI	A0A2B4SH97	nucleosome [GO:0000786]; DNA binding [GO:0003677]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0006334
A0A8K9V1E3_ONCMY	A0A8K9V1E3	N/A	N/A
A0A8C3TRH3_CATUS	A0A8C3TRH3	N/A	N/A
A0A673YLW8_SALTR	A0A673YLW8	N/A	N/A
A0A1D7XF02_ACTTE	A0A1D7XF02	bioluminescence [GO:0008218]	GO:0008218
A0A6P8I2G6_ACTTE	A0A6P8I2G6	bioluminescence [GO:0008218]	GO:0008218
A0A1D7XF04_ACTTE	A0A1D7XF04	bioluminescence [GO:0008218]	GO:0008218
A0A6P8ILA5_ACTTE	A0A6P8ILA5	bioluminescence [GO:0008218]	GO:0008218
A0A6P8H3W9_ACTTE	A0A6P8H3W9	bioluminescence [GO:0008218]	GO:0008218
Q2VFP3_ACTEQ	Q2VFP3	bioluminescence [GO:0008218]	GO:0008218
A0A6P8HCD3_ACTTE	A0A6P8HCD3	bioluminescence [GO:0008218]	GO:0008218
Q9GPI5_ANESU	Q9GPI5	bioluminescence [GO:0008218]	GO:0008218
A5YTR8_ANESU	A5YTR8	bioluminescence [GO:0008218]	GO:0008218
A5YTR7_9CNID	A5YTR7	bioluminescence [GO:0008218]	GO:0008218
A0A6P8ISK8_ACTTE	A0A6P8ISK8	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
A0A913X0K5_EXADI	A0A913X0K5	N/A	N/A
A7SVC6_NEMVE	A7SVC6	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
A0A2B4S6V0_STYPI	A0A2B4S6V0	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
A0A3M6URD1_POCDA	A0A3M6URD1	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
A0A6P8IA66_ACTTE	A0A6P8IA66	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
A0A913WXE7_EXADI	A0A913WXE7	N/A	N/A
A0A6P8IVN7_ACTTE	A0A6P8IVN7	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
A7RH58_NEMVE	A7RH58	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
A0A6P8IUU4_ACTTE	A0A6P8IUU4	membrane [GO:0016020]; neuropeptide Y receptor activity [GO:0004983]	GO:0004983; GO:0016020
A0A913XDE2_EXADI	A0A913XDE2	N/A	N/A
A7S3P4_NEMVE	A7S3P4	plasma membrane [GO:0005886]; G protein-coupled peptide receptor activity [GO:0008528]; neuropeptide Y receptor activity [GO:0004983]; neuropeptide signaling pathway [GO:0007218]	GO:0004983; GO:0005886; GO:0007218; GO:0008528
A0A3M6TFT2_POCDA	A0A3M6TFT2	membrane [GO:0016020]; neuropeptide Y receptor activity [GO:0004983]	GO:0004983; GO:0016020
A0A6P8IXS9_ACTTE	A0A6P8IXS9	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016020
A0A6P8IUT8_ACTTE	A0A6P8IUT8	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016020
A7RF58_NEMVE	A7RF58	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; G protein-coupled receptor signaling pathway [GO:0007186]	GO:0004930; GO:0005886; GO:0007186
A7RF61_NEMVE	A7RF61	plasma membrane [GO:0005886]; G protein-coupled peptide receptor activity [GO:0008528]; neuropeptide Y receptor activity [GO:0004983]; neuropeptide signaling pathway [GO:0007218]	GO:0004983; GO:0005886; GO:0007218; GO:0008528
A7SV45_NEMVE	A7SV45	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; G protein-coupled receptor signaling pathway [GO:0007186]	GO:0004930; GO:0005886; GO:0007186
A0A8C8RMV1_9SAUR	A0A8C8RMV1	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016020
A0A6P8IGT0_ACTTE	A0A6P8IGT0	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]	GO:0016020; GO:0016491
A0A3M6UQ13_POCDA	A0A3M6UQ13	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]	GO:0016020; GO:0016491
A0A6P8INM1_ACTTE	A0A6P8INM1	oxidoreductase activity [GO:0016491]	GO:0016491
A0A484CVH0_PERFV	A0A484CVH0	oxidoreductase activity [GO:0016491]	GO:0016491
A0A3M6T7Y1_POCDA	A0A3M6T7Y1	oxidoreductase activity [GO:0016491]	GO:0016491
A0A2B4SQD5_STYPI	A0A2B4SQD5	oxidoreductase activity [GO:0016491]	GO:0016491
A7SMF1_NEMVE	A7SMF1	intracellular membrane-bounded organelle [GO:0043231]; oxidoreductase activity [GO:0016491]; steroid metabolic process [GO:0008202]	GO:0008202; GO:0016491; GO:0043231
A0A3M6TVH2_POCDA	A0A3M6TVH2	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]	GO:0016020; GO:0016491
A0A2B4S586_STYPI	A0A2B4S586	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]	GO:0016020; GO:0016491
A0A2B4SDW5_STYPI	A0A2B4SDW5	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]	GO:0016020; GO:0016491
A0A3M6UTW1_POCDA	A0A3M6UTW1	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]	GO:0016020; GO:0016491
A0A2B4S5Y7_STYPI	A0A2B4S5Y7	oxidoreductase activity [GO:0016491]	GO:0016491
A0A6P8IIS0_ACTTE	A0A6P8IIS0	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0006508
A0A913Y308_EXADI	A0A913Y308	N/A	N/A
A0A2B4T1F1_STYPI	A0A2B4T1F1	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0006508
A7RLT1_NEMVE	A7RLT1	extracellular space [GO:0005615]; membrane [GO:0016020]; neuron projection [GO:0043005]; serine-type endopeptidase activity [GO:0004252]; peptide hormone processing [GO:0016486]; protein processing [GO:0016485]	GO:0004252; GO:0005615; GO:0016020; GO:0016485; GO:0016486; GO:0043005
A0A7D9I288_PARCT	A0A7D9I288	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0006508
A0A6S7GYZ2_PARCT	A0A6S7GYZ2	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0006508
T2MGV3_HYDVU	T2MGV3	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0006508
A0A8B7DJ74_HYDVU	A0A8B7DJ74	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0006508
A0A7M5WQ50_9CNID	A0A7M5WQ50	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0006508
A0A8C4B2A5_9TELE	A0A8C4B2A5	transport vesicle [GO:0030133]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0006508; GO:0030133
A0A6P8I6Y7_ACTTE	A0A6P8I6Y7	N/A	N/A
A0A913XBQ4_EXADI	A0A913XBQ4	N/A	N/A
A0A6P8HI41_ACTTE	A0A6P8HI41	N/A	N/A
A0A2B4S0M3_STYPI	A0A2B4S0M3	N/A	N/A
A0A3M6TC22_POCDA	A0A3M6TC22	N/A	N/A
A0A6P8HJQ6_ACTTE	A0A6P8HJQ6	N/A	N/A
A0A7M5WWX9_9CNID	A0A7M5WWX9	N/A	N/A
A0A8B6XWF5_HYDVU	A0A8B6XWF5	N/A	N/A
A0A8B6XJW6_HYDVU	A0A8B6XJW6	N/A	N/A
A0A8B7D8U9_HYDVU	A0A8B7D8U9	N/A	N/A
A0A6P8I4E6_ACTTE	A0A6P8I4E6	membrane [GO:0016020]	GO:0016020
A0A913X664_EXADI	A0A913X664	N/A	N/A
